_id,PART_NUM,PART_DESC,ACC_FLOW_YN,CATG_CD,TAG_CD,PART_PARENT_CATG,PART_WEB_CATG,EFF_FROM_DATE,MODEL_CD_LIST[0],MODEL_CD_LIST[1],MODEL_VARIANT[0],MODEL_VARIANT[1],MODEL_VARIANT[2],MODEL_VARIANT[3],MODEL_VARIANT[4],MODEL_YEAR_RANGE_LIST[0],MODEL_YEAR_RANGE_LIST[1],MODEL_YEAR_RANGE_LIST[2],MODEL_YEAR_RANGE_LIST[3],MODEL_VARIANT_YEAR_RANGE_LIST[0],MODEL_VARIANT_YEAR_RANGE_LIST[1],MODEL_VARIANT_YEAR_RANGE_LIST[2],MODEL_VARIANT_YEAR_RANGE_LIST[3],MODEL_VARIANT_YEAR_RANGE_LIST[4],MODEL_VARIANT_YEAR_RANGE_LIST[5],MODEL_VARIANT_YEAR_RANGE_LIST[6],MODEL_VARIANT_YEAR_RANGE_LIST[7],MODEL_VARIANT_YEAR_RANGE_LIST[8],MODEL_VARIANT_YEAR_RANGE_LIST[9],MODEL_VARIANT_YEAR_RANGE_LIST[10],SEARCH_TXT,ACTIVE,ORDER,CREATED_DATE,MODIFIED_DATE,CREATED_TIMESTAMP,MODIFIED_TIMESTAMP,PRICE,STAGING_APPROVED,PRODUCTION_APPROVED,NO_SHOW,FTDL_CODE,DISCOUNT_PERCENTAGE,CATG_TYPE,_class,ACC_SUBCATG_CD
690a372f6caffe3d82a84e1f,990J0M71UPJ-030,Interior Styling Kit - Modern Dark Prism | Victoris,Y,AA,1,INT,STI,2025-07-18T00:00:00.000Z,VICTORIS,,VICTORIS_Z+,VICTORIS_Z,VICTORIS_V,,,VICTORIS_2025-9999,,,,VICTORIS_2025-9999_Z+,VICTORIS_2025-9999_Z,VICTORIS_2025-9999_V,,,,,,,,,990J0M71UPJ-030 INTERIOR STYLING KIT LUMITILE DESIG INTERIOR STYLING KIT - MODERN DARK PRISM | VICTORIS VICTORIS Z+ ,true,9999,2025-11-04T17:26:02.880Z,2025-11-04T17:36:13.070Z,1762277162880,1762277773070,3217.00,true,true,false,SHOW,0,STI,com.marutisuzuki.partmaster.domain.models.PartSearchDoc,
690a372f6caffe3d82a84e35,990J0M71UPJ-040,Interior Styling Kit - Elegance Dawn Wood | Victoris,Y,AA,1,INT,STI,2025-07-18T00:00:00.000Z,VICTORIS,,VICTORIS_Z,VICTORIS_V,VICTORIS_Z+,,,VICTORIS_2025-9999,,,,VICTORIS_2025-9999_Z,VICTORIS_2025-9999_V,VICTORIS_2025-9999_Z+,,,,,,,,,990J0M71UPJ-040 INTERIOR STYLING KIT WOOD DESIGN TH INTERIOR STYLING KIT - ELEGANCE DAWN WOOD | VICTORIS VICTORIS Z Z+ ,true,9999,2025-11-04T17:26:02.880Z,2025-11-04T17:36:13.070Z,1762277162880,1762277773070,3032.50,true,true,false,SHOW,0,STI,com.marutisuzuki.partmaster.domain.models.PartSearchDoc,
690a372f6caffe3d82a84ebe,990J0M71US8-040,"Premium Black Etch Finish Seat Cover | Victoris (L,V,Z,Z(O))",Y,AA,1,INT,SCRSAB,2025-04-23T00:00:00.000Z,VICTORIS,,VICTORIS_Z,VICTORIS_L,VICTORIS_V,,,VICTORIS_2025-9999,,,,VICTORIS_2025-9999_Z,VICTORIS_2025-9999_L,VICTORIS_2025-9999_V,,,,,,,,,"990J0M71US8-040 SAB SEAT COVER DESIGN 6 COLOUR 2 PR PREMIUM BLACK ETCH FINISH SEAT COVER | VICTORIS (L,V,Z,Z(O)) VICTORIS ",true,5,2025-11-04T17:26:02.880Z,2025-11-04T17:36:13.070Z,1762277162880,1762277773070,9762.50,true,true,false,SHOW,0,SCRSAB,com.marutisuzuki.partmaster.domain.models.PartSearchDoc,SABPPU
690a372f6caffe3d82a84e83,990J0M71US8-020,"Premium Greige Etch Finish Seat Cover | Victoris (L,V,Z,Z(O))",Y,AA,1,INT,SCRSAB,2025-04-23T00:00:00.000Z,VICTORIS,,VICTORIS_V,VICTORIS_L,VICTORIS_Z,,,VICTORIS_2025-9999,,,,VICTORIS_2025-9999_V,VICTORIS_2025-9999_L,VICTORIS_2025-9999_Z,,,,,,,,,"990J0M71US8-020 SAB SEAT COVER DESIGN 6 COLOUR 1 PR PREMIUM GREIGE ETCH FINISH SEAT COVER | VICTORIS (L,V,Z,Z(O)) VICTORIS ",true,5,2025-11-04T17:26:02.880Z,2025-11-04T17:36:13.070Z,1762277162880,1762277773070,9762.50,true,true,false,SHOW,0,SCRSAB,com.marutisuzuki.partmaster.domain.models.PartSearchDoc,SABPPU
690a372f6caffe3d82a84e9d,990J0M71US8-010,"Premium Elevate Greige Finish Seat Cover | Victoris (L,V,Z,Z(O))",Y,AA,1,INT,SCRSAB,2025-04-23T00:00:00.000Z,VICTORIS,,VICTORIS_V,VICTORIS_L,VICTORIS_Z,,,VICTORIS_2025-9999,,,,VICTORIS_2025-9999_V,VICTORIS_2025-9999_L,VICTORIS_2025-9999_Z,,,,,,,,,"990J0M71US8-010 SAB SEAT COVER DESIGN 5 COLOUR 1 PR PREMIUM ELEVATE GREIGE FINISH SEAT COVER | VICTORIS (L,V,Z,Z(O)) VICTORIS ",true,5,2025-11-04T17:26:02.880Z,2025-11-04T17:36:13.070Z,1762277162880,1762277773070,9762.50,true,true,false,SHOW,0,SCRSAB,com.marutisuzuki.partmaster.domain.models.PartSearchDoc,SABPPU
690a372f6caffe3d82a84ed3,990J0M71UA3-020,All Weather 3D Boot Mat - Hybrid | Victoris,Y,AA,1,INT,DMT,2025-04-23T00:00:00.000Z,VICTORIS,,VICTORIS_Z+,VICTORIS_Z,VICTORIS_V,,,VICTORIS_2025-9999,,,,VICTORIS_2025-9999_Z+,VICTORIS_2025-9999_Z,VICTORIS_2025-9999_V,,,,,,,,,990J0M71UA3-020 3D BOOT MAT THS ALL WEATHER 3D BOOT MAT - HYBRID | VICTORIS VICTORIS Z+ ,true,9999,2025-11-04T17:26:02.880Z,2025-11-04T17:36:13.070Z,1762277162880,1762277773070,2074.00,true,true,false,DIY,0,DMT,com.marutisuzuki.partmaster.domain.models.PartSearchDoc,DMT3D
690a372f6caffe3d82a85029,990J0M71US3-080,"Black Mystic Prism Finish Seat Cover | Victoris (L,V,Z,Z(O))",Y,AA,1,INT,SCRSAB,2025-04-23T00:00:00.000Z,VICTORIS,,VICTORIS_V,VICTORIS_Z,VICTORIS_L,,,VICTORIS_2025-9999,,,,VICTORIS_2025-9999_V,VICTORIS_2025-9999_Z,VICTORIS_2025-9999_L,,,,,,,,,"990J0M71US3-080 SAB SEAT COVER DESIGN 4 COLOUR 2 NO BLACK MYSTIC PRISM FINISH SEAT COVER | VICTORIS (L,V,Z,Z(O)) VICTORIS ",true,5,2025-11-04T17:26:02.881Z,2025-11-04T17:36:13.069Z,1762277162881,1762277773069,8932.50,true,true,false,SHOW,0,SCRSAB,com.marutisuzuki.partmaster.domain.models.PartSearchDoc,SABPU
690a372f6caffe3d82a84f30,990J0M71US3-020,"Greige Urbanoutlook Highlight Seat Cover | Victoris (L,V,Z,Z(O))",Y,AA,1,INT,SCRSAB,2025-04-23T00:00:00.000Z,VICTORIS,,VICTORIS_L,VICTORIS_V,VICTORIS_Z,,,VICTORIS_2025-9999,,,,VICTORIS_2025-9999_L,VICTORIS_2025-9999_V,VICTORIS_2025-9999_Z,,,,,,,,,"990J0M71US3-020 SAB SEAT COVER DESIGN 2 COLOUR 1 NO GREIGE URBANOUTLOOK HIGHLIGHT SEAT COVER | VICTORIS (L,V,Z,Z(O)) VICTORIS ",true,5,2025-11-04T17:26:02.881Z,2025-11-04T17:36:13.069Z,1762277162881,1762277773069,8932.50,true,true,false,SHOW,0,SCRSAB,com.marutisuzuki.partmaster.domain.models.PartSearchDoc,SABPU
690a372f6caffe3d82a84f76,990J0M71UM8-020,Copper Highlight Door Sill Guard | Victoris,Y,AA,1,INT,DSG,2025-04-23T00:00:00.000Z,VICTORIS,,VICTORIS_Z,VICTORIS_Z+,VICTORIS_V,,,VICTORIS_2025-9999,,,,VICTORIS_2025-9999_Z,VICTORIS_2025-9999_Z+,VICTORIS_2025-9999_V,,,,,,,,,990J0M71UM8-020 DOOR SILL GUARD STAINLESS STEEL COP COPPER HIGHLIGHT DOOR SILL GUARD | VICTORIS VICTORIS Z Z+ ,true,9,2025-11-04T17:26:02.881Z,2025-11-04T17:36:13.069Z,1762277162881,1762277773069,3493.50,true,true,false,SHOW,0,DSG,com.marutisuzuki.partmaster.domain.models.PartSearchDoc,DSGSS
690a372f6caffe3d82a85055,990J0M71US3-040,"Greige Mystic Prism Finish Seat Cover  | Victoris (L,V,Z,Z(O))",Y,AA,1,INT,SCRSAB,2025-04-23T00:00:00.000Z,VICTORIS,,VICTORIS_V,VICTORIS_L,VICTORIS_Z,,,VICTORIS_2025-9999,,,,VICTORIS_2025-9999_V,VICTORIS_2025-9999_L,VICTORIS_2025-9999_Z,,,,,,,,,"990J0M71US3-040 SAB SEAT COVER DESIGN 4 COLOUR 1 NO GREIGE MYSTIC PRISM FINISH SEAT COVER  | VICTORIS (L,V,Z,Z(O)) VICTORIS ",true,5,2025-11-04T17:26:02.881Z,2025-11-04T17:36:13.069Z,1762277162881,1762277773069,8932.50,true,true,false,SHOW,0,SCRSAB,com.marutisuzuki.partmaster.domain.models.PartSearchDoc,SABPU
